time,true_detuning,measured_offset,estimated_offset,servo_correction,corrected_offset
8566.0,0.00024159720964860498,0.0003795000080225597,0.0003771192702965549,2.0855963514827747e-05,0.00022074124613377723
8567.0,0.00018355103174919583,0.00028832128581249283,0.00032223909775291876,1.811195488764594e-05,0.0001654390768615499
8568.0,0.0004674232416291028,0.0007342267004549485,0.0005768614391663612,3.084307195831806e-05,0.00043658016967078474
8569.0,0.0004243146289530759,0.0006665118526688607,0.0006322684418163884,3.361342209081943e-05,0.00039070120686225646
8570.0,0.0005775207591359653,0.0009071674671905228,0.0008021653829718233,4.210826914859117e-05,0.0005354124899873742
8571.0,0.0006226322827027208,0.0009780284776657322,0.0009108547528594003,4.7542737642970014e-05,0.0005750895450597508
8572.0,0.000735972019059147,0.0011560621029602092,0.0010624012295129951,5.512006147564976e-05,0.0006808519575834973
8573.0,0.0006408124625450235,0.001006585835132967,0.0010279054186906578,5.33952709345329e-05,0.0005874171916104906
8574.0,0.0006022817955183852,0.0009460620095150252,0.0009773234100649518,5.086617050324759e-05,0.0005514156250151376
8575.0,0.0004652140848534815,0.000730756565255064,0.0008249367194736205,4.324683597368103e-05,0.00042196724887980043
8576.0,0.000332370472128613,0.0005220863129597186,0.0006377648747413066,3.388824373706533e-05,0.0002984822283915477
8577.0,0.0002343360762323409,0.00036809424645151134,0.0004710992606906742,2.555496303453371e-05,0.00020878111319780717
8578.0,0.00031855367268547423,0.0005003829356006739,0.0004891975671005565,2.645987835502783e-05,0.0002920937943304464
8579.0,0.00022948499323123946,0.0003604741831732261,0.0004096421406865644,2.248210703432822e-05,0.00020700288619691123
8580.0,0.00035901506972989164,0.0005639395480130927,0.0005050031827903459,2.7250159139517297e-05,0.00033176491059037433
8581.0,0.00044095034827182404,0.0006926431785027332,0.0006209710777894858,3.304855388947429e-05,0.00040790179438234973
8582.0,0.0005503580580873803,0.0008645003988362598,0.0007714804754535773,4.057402377267887e-05,0.0005097840343147015
8583.0,0.0005206162311874286,0.0008177820490345988,0.0008000964216592528,4.200482108296264e-05,0.00047861141010446595
8584.0,0.0004022330849190637,0.0006318262455803914,0.0006960997335495869,3.6804986677479346e-05,0.00036542809824158435
8585.0,0.00020348876112127417,0.0003196393976426237,0.0004634344505428812,2.517172252714406e-05,0.0001783170385941301
8586.0,0.00031910357065231,0.0005012467132894938,0.00048680371411182925,2.6340185705591464e-05,0.0002927633849467186
8587.0,0.00039630877714020186,0.0006225203649752598,0.0005706812171847321,3.0534060859236605e-05,0.00036577471628096523
8588.0,0.00047062663338667945,0.0007392585762414083,0.000674867754815453,3.574338774077265e-05,0.0004348832456459068
8589.0,0.0004783667760216692,0.0007514167633219937,0.0007221776438776,3.810888219388e-05,0.00044025789382778923
8590.0,0.0002528827909571668,0.00039722735747399485,0.0005213473222261592,2.806736611130796e-05,0.00022481542484585883
8591.0,0.0001674336562748555,0.00026300417177299584,0.00036168247448537644,2.0084123724268823e-05,0.00014734953255058668
8592.0,0.0003195927938349181,0.0005020151832524355,0.00044841285823675936,2.442064291183797e-05,0.00029517215092308014
8593.0,0.00014346860913218683,0.00022535996393041602,0.00031055858826640125,1.7527929413320065e-05,0.00012594067971886675
8594.0,0.00020147189425264174,0.00031647131059908684,0.0003142128516340415,1.7710642581702076e-05,0.00018376125167093965
8595.0,0.0002056394374663742,0.00032301767211737054,0.00031965452995758015,1.7982726497879008e-05,0.00018765671096849517
8596.0,0.00012360559529038778,0.0001941592148579918,0.00024209415979715667,1.4104707989857833e-05,0.00010950088730052994
8597.0,0.00010484570382230643,0.00016469124632545462,0.00019425652844337767,1.1712826422168883e-05,9.313287740013755e-05
8598.0,0.00011722762224747159,0.00018414071825872957,0.0001880046139255228,1.1400230696276141e-05,0.00010582739155119545
8599.0,6.956091844500685e-05,0.00010926603514704869,0.00013934149601456462,8.96707480072823e-06,6.0593843644278617e-05
8600.0,0.0001348125767055776,0.00021176310004158982,0.00018410050882305246,1.1205025441152625e-05,0.00012360755126442497
8601.0,0.00013978335382660263,0.00021957117845583518,0.00020602258825983094,1.230112941299155e-05,0.0001274822244136111
8602.0,0.00026018217643299405,0.0004086932052184411,0.00033127991806116287,1.8563995903058146e-05,0.00024161818052993592
8603.0,0.0002966401843119816,0.00046596130919909773,0.0004145175954365255,2.2725879771826276e-05,0.00027391430454015535
8604.0,0.00014462195617740458,0.00022717163722443812,0.000298731425606538,1.6936571280326903e-05,0.0001276853848970777
8605.0,0.00028383106499167937,0.0004458407919556706,0.00038965001407376197,2.14825007036881e-05,0.00026234856428799126
8606.0,0.00018753702008206193,0.0002945824616014392,0.0003308950354186024,1.8544751770930122e-05,0.0001689922683111318
8607.0,0.00027702811451252643,0.00043515474249813946,0.00039533107805086434,2.1766553902543218e-05,0.0002552615606099832
8608.0,0.00038423194254919274,0.0006035501181306246,0.0005240175219250328,2.8200876096251644e-05,0.0003560310664529411
8609.0,0.00028884362225367366,0.0004537144983635111,0.0004805678638521277,2.6028393192606385e-05,0.00026281522906106727
8610.0,0.0002796344997945223,0.00043924884286242194,0.0004550313044986192,2.475156522493096e-05,0.0002548829345695913
8611.0,3.662869043656296e-05,5.753621238793749e-05,0.0002093658272129477,1.2468291360647387e-05,2.4160399075915572e-05
8612.0,9.80127384512982e-06,1.5395804953272085e-05,8.948576065789447e-05,6.474288032894724e-06,3.326985812235096e-06
8613.0,6.185643859829386e-05,9.716386651439923e-05,9.423109104643404e-05,6.711554552321703e-06,5.5144884045972155e-05
8614.0,5.077107629209282e-05,7.9751020133495e-05,8.528191506272899e-05,6.264095753136449e-06,4.450698053895637e-05
8615.0,0.00013514306039935233,0.00021228222261193697,0.0001637724217098294,1.018862108549147e-05,0.00012495443931386085
8616.0,0.00015699825970846265,0.00024661228926303735,0.0002149702754812515,1.2748513774062577e-05,0.00014424974593440007
8617.0,0.0001519459363124702,0.0002386761182686381,0.00022962129205581798,1.3481064602790899e-05,0.0001384648717096793
8618.0,7.296183212734146e-05,0.00011460817786121402,0.00015853927833157976,9.926963916578988e-06,6.303486821076247e-05
8619.0,2.9246276624419007e-05,4.59399438917929e-05,8.894906253717488e-05,6.447453126858744e-06,2.2798823497560264e-05
8620.0,8.425114743097244e-05,0.00013234139285125956,0.00011576699752234161,7.788349876117083e-06,7.646279755485536e-05
8621.0,0.0001631592398471915,0.00025628993418597146,0.0002026149485794136,1.2130747428970682e-05,0.0001510284924182208
8622.0,0.00010724828981142994,0.000168465219563263,0.000181509255340834,1.1075462767041702e-05,9.617282704438824e-05
8623.0,-6.037852966413052e-05,-9.484237259063666e-05,1.0714556432820304e-05,2.5357278216410156e-06,-6.291425748577153e-05
8624.0,-5.641215835294242e-05,-8.861201110890726e-05,-5.067263829382943e-05,-5.437664423502373e-07,-5.586839191059218e-05
8625.0,-7.322391444954595e-05,-0.00011501985581016672,-9.044140580040846e-05,-2.550293098839271e-06,-7.067362135070668e-05
8626.0,4.250551871109017e-05,6.67675126515832e-05,6.7190491375328974e-06,2.3090734578853042e-06,4.019644525320486e-05
8627.0,2.6147728014241175e-05,4.107275511713859e-05,2.7950807072449722e-05,3.3762515160456352e-06,2.277147649819554e-05
8628.0,-3.369166332740017e-05,-5.292274099413796e-05,-2.203179442349982e-05,8.727150823634582e-07,-3.456437840976363e-05
8629.0,-5.686604196792683e-05,-8.932496982319571e-05,-6.362126403142017e-05,-1.2194826508388437e-06,-5.564655931708799e-05
8630.0,0.00018823975506305305,0.00029568631512044696,0.00015844303229987689,9.915420772185985e-06,0.00017832433429086706
8631.0,-0.00012050899602068609,-0.0001892950881143829,-5.647094530013933e-05,-8.415722968748542e-07,-0.00011966742372381124
8632.0,-0.00017809637600439319,-0.0002797531326595437,-0.00019446692617067338,-7.780264725635693e-06,-0.0001703161112787575
8633.0,-0.00014344082619652314,-0.00022531632259681356,-0.00021353290169444754,-8.77627008216329e-06,-0.00013466455611435985
8634.0,-0.0001617576362039447,-0.0002540883003422645,-0.00023859751648609993,-1.0077220325043129e-05,-0.00015168041587890156
8635.0,-6.818496605010244e-05,-0.00010710469418154234,-0.00015733048302523305,-6.045334748604832e-06,-6.213963130149762e-05
8636.0,-5.91407097325277e-05,-9.289800959044747e-05,-0.00011750902446331087,-4.077763625401384e-06,-5.5062946107126314e-05
8637.0,-8.294326120452627e-05,-0.00013028696997360867,-0.00012540622909506903,-4.497705102808307e-06,-7.844555610171796e-05
8638.0,-0.0001937536254588,-0.00030434748242227916,-0.0002359980056407901,-1.0074493531222517e-05,-0.0001836791319275775
8639.0,-0.0002013103394097564,-0.00031621754084748543,-0.00028557640496024666,-1.2610528778187396e-05,-0.00018869981063156902
8640.0,-0.000151488301837555,-0.00023795726771927428,-0.00025614615963037983,-1.119024574362013e-05,-0.00014029805609393488
8641.0,-4.902671937851523e-05,-7.70109907025085e-05,-0.00014543453665250128,-5.683751502056702e-06,-4.3342967876458524e-05
8642.0,-0.00018013973175534144,-0.00028296282834697206,-0.00023043169533439408,-9.979695775218223e-06,-0.00017016003598012322
8643.0,-0.00018014873817025277,-0.00028297697559021007,-0.00026290646448087713,-1.165601552543855e-05,-0.00016849272264481423
8644.0,-0.0002957857866801381,-0.00046461922456067506,-0.0003875718061747452,-1.7966796971366902e-05,-0.0002778189897087712
8645.0,-0.00018263543122725502,-0.00028688306388482965,-0.00032534274115509845,-1.4920412268615586e-05,-0.00016771501895863943
8646.0,-0.0003076954795929995,-0.0004833269261048101,-0.00042298233713896987,-1.988698853523695e-05,-0.00028780849105776256
8647.0,-0.00026675885521143674,-0.00041902382794403725,-0.00042053584391172255,-1.984877104265693e-05,-0.00024691008416877983
8648.0,-0.0003430240566909896,-0.0005388209240805852,-0.0004936400438180858,-2.360270904673871e-05,-0.0003194213476442509
8649.0,-0.0002447824984351055,-0.0003845034478897058,-0.0004261899181178836,-2.0315440745352173e-05,-0.00022446705768975332
8650.0,-0.0002050848741829535,-0.0003221465661563949,-0.00036188759030221556,-1.7172701872629214e-05,-0.00018791217231032428
8651.0,-0.00023721001454751403,-0.00037260861815033297,-0.00036851354990668627,-1.757770256283409e-05,-0.00021963231198467994
8652.0,-0.0003640454178410536,-0.0005718412001440298,-0.0004941769486060152,-2.3959707887521735e-05,-0.00034008570995353184
8653.0,-0.00033384784969711564,-0.0005244069721666023,-0.0005128601306471681,-2.4996439015708816e-05,-0.0003088514106814068
8654.0,-0.00041378895900320324,-0.0006499781695475104,-0.0005976037391583099,-2.935314018909757e-05,-0.0003844358188141057
8655.0,-0.0005601770588527708,-0.0008799240482328108,-0.0007720872858807268,-3.823173498239456e-05,-0.0005219453238703763
8656.0,-0.0005885256802976663,-0.000924453955767901,-0.0008662550666236356,-4.311337503286473e-05,-0.0005454123052648016
8657.0,-0.0005762192097229605,-0.0009051229982877385,-0.0008902767694644594,-4.449251552879881e-05,-0.0005317266941941616
8658.0,-0.0004680853113982081,-0.0007352666771705263,-0.0007944752638275506,-3.986133529971888e-05,-0.0004282239760984892
8659.0,-0.0005009586667078503,-0.000786904020547291,-0.000789795978143256,-3.9785330211132803e-05,-0.0004611733364967175
8660.0,-0.0005466700025680984,-0.0008587072151178265,-0.0008323854648003391,-4.2081281636947026e-05,-0.0005045887209311513
8661.0,-0.0005110179060186161,-0.0008027050359081522,-0.0008140419509442932,-4.1326914334333585e-05,-0.0004696909916842826
8662.0,-0.0002976017700244055,-0.0004674717644777282,-0.0005998497962205672,-3.0737276557391395e-05,-0.0002668644934670141
8663.0,-0.00024009144166637272,-0.0003771347532341429,-0.0004622043298490631,-2.3947444104786006e-05,-0.00021614399756158671
8664.0,-0.00018809286455229862,-0.00029545558004676065,-0.0003591479348896879,-1.8866453943795184e-05,-0.00016922641060850344
8665.0,-0.00023156217831173456,-0.0003637370178335986,-0.00036198414412621713,-1.9080661234446887e-05,-0.00021248151707728769
8666.0,-0.00013120845164240073,-0.0002061017536503229,-0.0002656435285645316,-1.4316759162075519e-05,-0.00011689169248032521
8667.0,-0.0001393395495292624,-0.00021887405229820134,-0.00023673840259590796,-1.2918850544163519e-05,-0.00012642069898509886
8668.0,-9.30337072998757e-05,-0.0001461370056110578,-0.0001807436598310483,-1.0155262137886745e-05,-8.287844516198895e-05
8669.0,-4.3187994702179435e-05,-6.783954343184129e-05,-0.00011096507842656397,-6.688526083347841e-06,-3.6499468618831596e-05
8670.0,-1.8619546895218754e-05,-2.92475158693295e-05,-6.046084728839729e-05,-4.175406695897186e-06,-1.4444140199321568e-05
8671.0,1.6964306422571747e-05,2.664747021458025e-05,-6.624946368739792e-06,-1.4849366391880593e-06,1.8449243061759805e-05
8672.0,9.277141957685516e-05,0.00014572500502019192,8.753250177401427e-05,3.2404422683044465e-06,8.953097730855072e-05
8673.0,0.00016612209501556746,0.00026094397617637544,0.00019470668699390583,8.638092866697806e-06,0.00015748400214886965
8674.0,0.00027466850818752076,0.00043144828160548987,0.0003410210390147137,1.602201467554114e-05,0.0002586464935119796
8675.0,0.00034927233438991265,0.0005486356955071436,0.0004693339532896695,2.2531527179946864e-05,0.0003267408072099658
8676.0,0.0003654372243524838,0.0005740274446432159,0.0005340380893470544,2.5873541600685525e-05,0.00033956368275179827
8677.0,0.0004285403127799126,0.0006731495410636223,0.0006200136947322333,3.0296324608890914e-05,0.0003982439881710217
8678.0,0.0002453263905529485,0.0003853577916203277,0.0004749883709482734,2.3140056093882572e-05,0.00022218633445906594
8679.0,0.00011937939348484059,0.00018752071260508263,0.0002973235874258392,1.4316281635246032e-05,0.00010506311184959455
8680.0,0.0002097057694573428,0.0003294050514181246,0.0003171510225819275,1.537108359756683e-05,0.00019433468585977598
8681.0,0.00029056142991461145,0.0004564128242830201,0.00040321954936775063,1.9755153846731537e-05,0.00027080627606787994
8682.0,0.00036336257609512397,0.0005707685948665164,0.0005067705542685905,2.503405820262725e-05,0.00033832851789249673
8683.0,0.00034628611461550774,0.0005439449525664053,0.0005297455959279662,2.6288759404781632e-05,0.0003199973552107261
8684.0,0.0004897339734019478,0.0007692723143866431,0.0006777812491491554,3.382609831567092e-05,0.0004559078750862769
8685.0,0.00046521973464786783,0.0007307654399313357,0.0007105272799189517,3.5605505310144526e-05,0.00042961422933772333
8686.0,0.0003666382068282036,0.0005759139434548255,0.0006273316626450961,3.157119077898077e-05,0.00033506701604922286
8687.0,0.00041500827732507384,0.0006518934702239021,0.0006425116945539329,3.2458694713333396e-05,0.00038254958261174047
8688.0,0.0002726297114466096,0.0004282457472212786,0.0005100880564706577,2.5939530420463763e-05,0.0002466901810261458
8689.0,0.00032584678536894677,0.0005118389299796355,0.0005111701558092078,2.609586941855311e-05,0.00029975091595039365
8690.0,0.0003011301353550532,0.00047301410768099683,0.0004875884211895966,2.501430037181047e-05,0.00027611583498324277
8691.0,0.00033288108368675044,0.0005228883797020467,0.000509404995351752,2.6207010078988586e-05,0.00030667407360776187
